id,"date","label","value"
250,"2020-10-01","Notes (L)","106.4000"
251,"2020-11-01","Notes (L)","559.2000"
252,"2020-12-01","Notes (L)","342.1000"
253,"2021-01-01","Notes (L)","120.7000"
254,"2021-02-01","Notes (L)","409.4000"
255,"2021-03-01","Notes (L)","581.8000"
256,"2021-04-01","Notes (L)","383.4000"
257,"2021-05-01","Notes (L)","190.5000"
258,"2021-06-01","Notes (L)","578.5000"
259,"2021-07-01","Notes (L)","127.8000"
260,"2021-08-01","Notes (L)","615.4000"
261,"2021-09-01","Notes (L)","353.0000"
262,"2021-10-01","Notes (L)","122.2000"
263,"2021-11-01","Notes (L)","612.1000"
264,"2021-12-01","Notes (L)","341.8000"
265,"2022-01-01","Notes (L)","336.6000"
266,"2022-02-01","Notes (L)","353.7000"
267,"2022-03-01","Notes (L)","309.9000"
268,"2022-04-01","Notes (L)","119.1000"
269,"2022-05-01","Notes (L)","521.2000"
270,"2022-06-01","Notes (L)","266.1000"
271,"2022-07-01","Notes (L)","102.7000"
272,"2022-08-01","Notes (L)","465.4000"
273,"2022-09-01","Notes (L)","233.0000"
274,"2022-10-01","Notes (L)","237.0000"
275,"2022-11-01","Notes (L)","272.9000"
276,"2022-12-01","Notes (L)","113.0000"
277,"2023-01-01","Notes (L)","353.0000"
278,"2023-02-01","Notes (L)","284.6000"
279,"2023-03-01","Notes (L)","229.0000"
280,"2023-04-01","Notes (L)","97.6000"
281,"2023-05-01","Notes (L)","435.8000"
282,"2023-06-01","Notes (L)","233.0000"
283,"2023-07-01","Notes (L)","233.0000"
284,"2023-08-01","Notes (L)","282.9000"
285,"2023-09-01","Notes (L)","118.0000"
286,"2023-10-01","Notes (L)","404.0000"
287,"2023-11-01","Notes (L)","280.6000"
288,"2023-12-01","Notes (L)","133.0000"
289,"2024-01-01","Notes (L)","452.0000"
290,"2024-02-01","Notes (L)","316.8000"
291,"2024-03-01","Notes (L)","111.0000"
292,"2024-04-01","Notes (L)","539.7000"
293,"2024-05-01","Notes (L)","353.0000"
294,"2024-06-01","Notes (L)","149.1000"
295,"2024-07-01","Notes (L)","546.9000"
296,"2024-08-01","Notes (L)","155.0000"
